"","Site.Code","Site","Mean.Pred.Amphipod","Mean.Pred.Gastropod","Mean.Pred.Isopod","Mean.Pred.Lettuce","Mean.Pred.Shrimp","Mean.Pred.Squid","Mean.Pred.Crustacean","SD.Pred.Amphipod","SD.Pred.Gastropod","SD.Pred.Isopod","SD.Pred.Lettuce","SD.Pred.Shrimp","SD.Pred.Squid","SD.Pred.Crustacean","SE.Pred.Amphipod","SE.Pred.Gastropod","SE.Pred.Isopod","SE.Pred.Lettuce","SE.Pred.Shrimp","SE.Pred.Squid","SE.Pred.Crustacean"
"1","BB","BB.A",0.526315789473684,0.1875,NA,0.2,NA,0.4,0.526315789473684,0.512989176042577,0.403112887414928,NA,0.410391340834062,NA,0.502624689950035,0.512989176042577,0.117687788289463,0.100778221853732,NA,0.0917662935482247,NA,0.112390297389803,0.117687788289463
"2","BB","BB.B",0.85,0.15,NA,0.25,NA,0.55,0.85,0.366347548532523,0.366347548532523,NA,0.444261658319319,NA,0.51041778553404,0.366347548532523,0.0819178021909125,0.0819178021909125,NA,0.0993399267798783,NA,0.114132886537902,0.0819178021909125
"3","BC","BC.A",1,0.3,NA,0.5,NA,0.65,1,0,0.470162345981627,NA,0.512989176042577,NA,0.489360484929593,0,0,0.105131496607569,NA,0.114707866935281,NA,0.109424330980483,0
"4","BC","BC.B",0.368421052631579,0.294117647058824,NA,0.368421052631579,NA,0.25,0.368421052631579,0.495594627783352,0.469668218313862,NA,0.495594627783352,NA,0.444261658319319,0.495594627783352,0.113697205235226,0.113911274888453,NA,0.113697205235226,NA,0.0993399267798783,0.113697205235226
"5","CR","CR.A",0.85,0.4,NA,0,NA,0.842105263157895,0.85,0.366347548532523,0.502624689950035,NA,0,NA,0.374634324632678,0.366347548532523,0.0819178021909125,0.112390297389803,NA,0,NA,0.085947008518708,0.0819178021909125
"6","CR","CR.B",0.9,0.15,NA,0,NA,0.8,0.9,0.307793505625546,0.366347548532523,NA,0,NA,0.410391340834062,0.307793505625546,0.0688247201611685,0.0819178021909125,NA,0,NA,0.0917662935482247,0.0688247201611685
"7","ES","ES.A",NA,0.25,NA,0.368421052631579,0.947368421052632,1,0.947368421052632,NA,0.444261658319319,NA,0.495594627783352,0.229415733870562,0,0.229415733870562,NA,0.0993399267798783,NA,0.113697205235226,0.0526315789473684,0,0.0526315789473684
"8","ES","ES.B",NA,0.8,NA,0,0.95,0.722222222222222,0.95,NA,0.410391340834062,NA,0,0.223606797749979,0.460888598962477,0.223606797749979,NA,0.0917662935482247,NA,0,0.05,0.108632484565978,0.05
"9","FI","FI.A",0.6,0,0.2,0,NA,0.0526315789473684,0.4,0.502624689950035,0,0.410391340834062,0,NA,0.229415733870562,0.34792618696923,0.112390297389803,0,0.0917662935482247,0,NA,0.0526315789473684,0.0777986605215499
"10","FI","FI.B",0.35,0,0.15,0,NA,0.05,0.25,0.489360484929593,0,0.366347548532523,0,NA,0.223606797749979,0.344123600805843,0.109424330980483,0,0.0819178021909125,0,NA,0.05,0.0769483764063865
"11","FR","FR.A",0.95,0,NA,0.333333333333333,NA,0.4,0.95,0.223606797749979,0,NA,0.485071250072666,NA,0.502624689950035,0.223606797749979,0.05,0,NA,0.114332390095006,NA,0.112390297389803,0.05
"12","FR","FR.B",0.5,0.25,NA,0.05,NA,0.25,0.5,0.512989176042577,0.444261658319319,NA,0.223606797749979,NA,0.444261658319319,0.512989176042577,0.114707866935281,0.0993399267798783,NA,0.05,NA,0.0993399267798783,0.114707866935281
"13","IR","IR.A",0.578947368421053,0,NA,0,NA,0,0.578947368421053,0.507257273501788,0,NA,0,NA,0,0.507257273501788,0.116372799661593,0,NA,0,NA,0,0.116372799661593
"14","IR","IR.B",1,0.111111111111111,NA,0.210526315789474,NA,0.105263157894737,1,0,0.323380833381777,NA,0.418853908291695,NA,0.315301767642306,0,0,0.0762215933966706,NA,0.0960916767552923,NA,0.0723351864143449,0
"15","JN","JN.A",0.8,0.0555555555555556,NA,0.230769230769231,NA,0.8,0.8,0.410391340834062,0.235702260395516,NA,0.438529009653515,NA,0.410391340834062,0.410391340834062,0.0917662935482247,0.0555555555555556,NA,0.12162606385263,NA,0.0917662935482247,0.0917662935482247
"16","JN","JN.B",0.55,0,NA,0.25,NA,1,0.55,0.51041778553404,0,NA,0.444261658319319,NA,0,0.51041778553404,0.114132886537902,0,NA,0.0993399267798783,NA,0,0.114132886537902
"17","JS","JS.A",0.764705882352941,0.333333333333333,NA,0.166666666666667,NA,0.9,0.764705882352941,0.437237316097603,0.487950036474267,NA,0.389249472080761,NA,0.307793505625546,0.437237316097603,0.106045625748941,0.125988157669742,NA,0.112366643743874,NA,0.0688247201611685,0.106045625748941
"18","JS","JS.B",0.95,0.3,NA,0.3,NA,0.8,0.95,0.223606797749979,0.470162345981627,NA,0.470162345981627,NA,0.410391340834062,0.223606797749979,0.05,0.105131496607569,NA,0.105131496607569,NA,0.0917662935482247,0.05
"19","KO","KO.A",NA,0.05,0.05,0.4,NA,1,0.05,NA,0.223606797749979,0.223606797749979,0.502624689950035,NA,0,0.223606797749979,NA,0.05,0.05,0.112390297389803,NA,0,0.05
"20","KO","KO.B",1,0,NA,0.142857142857143,NA,0.947368421052632,1,0,0,NA,0.363136519601281,NA,0.229415733870562,0,0,0,NA,0.0970523172123939,NA,0.0526315789473684,0
"21","LI","LI.1",NA,NA,NA,0.4,1,1,1,NA,NA,NA,0.502624689950035,0,0,0,NA,NA,NA,0.112390297389803,0,0,0
"22","LI","LI.2",NA,NA,NA,0.105263157894737,1,0.777777777777778,1,NA,NA,NA,0.315301767642306,0,0.427792631946499,0,NA,NA,NA,0.0723351864143449,0,0.100831690330337,0
"23","MA","MA.A",0.65,0.210526315789474,0.421052631578947,0.266666666666667,NA,0.6,0.55,0.489360484929593,0.418853908291695,0.507257273501788,0.457737708217063,NA,0.502624689950035,0.394034462826206,0.109424330980483,0.0960916767552923,0.116372799661593,0.118187368057056,NA,0.112390297389803,0.0881087844357011
"24","MA","MA.B",0.533333333333333,0.0526315789473684,0.333333333333333,0.133333333333333,NA,0.421052631578947,0.394736842105263,0.516397779494322,0.229415733870562,0.485071250072666,0.351865775274498,NA,0.507257273501788,0.427490980035481,0.133333333333333,0.0526315789473684,0.114332390095006,0.0908513525158996,NA,0.116372799661593,0.0980731569078855
"25","MX","MX.A",NA,0,NA,0.45,0.55,0.8,0.55,NA,0,NA,0.51041778553404,0.51041778553404,0.410391340834062,0.51041778553404,NA,0,NA,0.114132886537902,0.114132886537902,0.0917662935482247,0.114132886537902
"26","MX","MX.B",NA,0.05,NA,0.9,0.8,0.85,0.8,NA,0.223606797749979,NA,0.307793505625546,0.410391340834062,0.366347548532523,0.410391340834062,NA,0.05,NA,0.0688247201611685,0.0917662935482247,0.0819178021909125,0.0917662935482247
"27","NC","NC.A",0.833333333333333,NA,0.333333333333333,0,NA,1,0.710526315789474,0.383482494423685,NA,0.5,0,NA,0,0.346241304491062,0.0903876907577734,NA,0.166666666666667,0,NA,0,0.0794332029661177
"28","NC","NC.B",0.8,NA,0.444444444444444,0.111111111111111,NA,1,0.647058823529412,0.414039335605413,NA,0.52704627669473,0.333333333333333,NA,0,0.424437343813583,0.10690449676497,NA,0.175682092231577,0.111111111111111,NA,0,0.102941176470588
"29","NN","NN.A",0.2,0,NA,0.05,NA,0.1,0.2,0.410391340834062,0,NA,0.223606797749979,NA,0.307793505625546,0.410391340834062,0.0917662935482247,0,NA,0.05,NA,0.0688247201611685,0.0917662935482247
"30","NN","NN.B",0.25,0,NA,0,NA,0,0.25,0.444261658319319,0,NA,0,NA,0,0.444261658319319,0.0993399267798783,0,NA,0,NA,0,0.0993399267798783
"31","OR","OR.A",0.9,0.125,0.3,0,NA,0.736842105263158,0.6,0.307793505625546,0.341565025531987,0.470162345981627,0,NA,0.452413928358864,0.307793505625546,0.0688247201611685,0.0853912563829966,0.105131496607569,0,NA,0.103790873387713,0.0688247201611685
"32","OR","OR.B",0.944444444444444,0,0.0526315789473684,0.25,NA,0.555555555555556,0.473684210526316,0.235702260395516,0,0.229415733870562,0.444261658319319,NA,0.511309992564914,0.202325659555628,0.0555555555555556,0,0.0526315789473684,0.0993399267798783,NA,0.120516921010365,0.0464166896677998
"33","PO","PO.A",0.85,0.05,NA,0.1,NA,1,0.85,0.366347548532523,0.223606797749979,NA,0.307793505625546,NA,0,0.366347548532523,0.0819178021909125,0.05,NA,0.0688247201611685,NA,0,0.0819178021909125
"34","PO","PO.B",1,0,NA,0,NA,1,1,0,0,NA,0,NA,0,0,0,0,NA,0,NA,0,0
"35","QU","QU.A",0.3,0,NA,0,NA,0.8,0.3,0.470162345981627,0,NA,0,NA,0.410391340834062,0.470162345981627,0.105131496607569,0,NA,0,NA,0.0917662935482247,0.105131496607569
"36","QU","QU.B",0.2,0.1,NA,0.05,NA,0.65,0.2,0.410391340834062,0.307793505625546,NA,0.223606797749979,NA,0.489360484929593,0.410391340834062,0.0917662935482247,0.0688247201611685,NA,0.05,NA,0.109424330980483,0.0917662935482247
"37","RU","RU.A",0.25,0,NA,0,NA,1,0.25,0.444261658319319,0,NA,0,NA,0,0.444261658319319,0.0993399267798783,0,NA,0,NA,0,0.0993399267798783
"38","RU","RU.B",0.315789473684211,0,NA,0,NA,1,0.315789473684211,0.477566932940919,0,NA,0,NA,0,0.477566932940919,0.109561368392954,0,NA,0,NA,0,0.109561368392954
"39","SD","SD.A",0.894736842105263,0.0555555555555556,NA,0.578947368421053,0.944444444444444,0.85,0.894736842105263,0.315301767642306,0.235702260395516,NA,0.507257273501788,0.235702260395516,0.366347548532523,0.267651689515655,0.0723351864143449,0.0555555555555556,NA,0.116372799661593,0.0555555555555556,0.0819178021909125,0.0614035087719298
"40","SD","SD.B",0.95,NA,0.588235294117647,0.266666666666667,1,0.9,0.8666666668,0.223606797749979,NA,0.507299656195892,0.457737708217063,0,0.307793505625546,0.167541563149137,0.05,NA,0.123038239196188,0.118187368057056,0,0.0688247201611685,0.0374634324258043
"41","SF","SF.A",0.6,NA,0.3,0.0625,NA,0.4,0.45,0.502624689950035,NA,0.470162345981627,0.25,NA,0.502624689950035,0.223606797749979,0.112390297389803,NA,0.105131496607569,0.0625,NA,0.112390297389803,0.05
"42","SF","SF.B",1,NA,0.9,0.882352941176471,NA,0.95,0.95,0,NA,0.307793505625546,0.332105582077536,NA,0.223606797749979,0.153896752812773,0,NA,0.0688247201611685,0.0805474349272303,NA,0.05,0.0344123600805843
"43","SW","SW.A",0.421052631578947,0.1,NA,0.1,NA,0.65,0.421052631578947,0.507257273501788,0.307793505625546,NA,0.307793505625546,NA,0.489360484929593,0.507257273501788,0.116372799661593,0.0688247201611685,NA,0.0688247201611685,NA,0.109424330980483,0.116372799661593
"44","SW","SW.B",1,0.3,NA,0.0555555555555556,NA,1,1,0,0.470162345981627,NA,0.235702260395516,NA,0,0,0,0.105131496607569,NA,0.0555555555555556,NA,0,0
"45","UK","UK.A",0.5,0,NA,0.133333333333333,NA,1,0.5,0.512989176042577,0,NA,0.351865775274498,NA,0,0.512989176042577,0.114707866935281,0,NA,0.0908513525158996,NA,0,0.114707866935281
"46","UK","UK.B",0.882352941176471,0.5,NA,0.428571428571429,NA,0.65,0.882352941176471,0.332105582077536,0.514495755427527,NA,0.534522483824849,NA,0.489360484929593,0.332105582077536,0.0805474349272303,0.121267812518167,NA,0.202030508910442,NA,0.109424330980483,0.0805474349272303
"47","VA","VA.A",0.55,0.2,0.7,0.2,NA,0.35,0.625,0.51041778553404,0.410391340834062,0.470162345981627,0.410391340834062,NA,0.489360484929593,0.393198757828525,0.114132886537902,0.0917662935482247,0.105131496607569,0.0917662935482247,NA,0.109424330980483,0.0879219151173058
"48","VA","VA.B",0.65,0.210526315789474,0.684210526315789,0.25,NA,0.5,0.675,0.489360484929593,0.418853908291695,0.477566932940919,0.444261658319319,NA,0.512989176042577,0.244680242464796,0.109424330980483,0.0960916767552923,0.109561368392954,0.0993399267798783,NA,0.114707866935281,0.0547121654902415
"49","WA","WA.A",0.7,NA,NA,0,NA,0.9,0.575,0.470162345981627,NA,NA,0,NA,0.307793505625546,0.372579910185297,0.105131496607569,NA,NA,0,NA,0.0688247201611685,0.0833114006225091
"50","WA","WA.B",NA,0.1,NA,0.555555555555556,1,1,1,NA,0.307793505625546,NA,0.511309992564914,0,0,0,NA,0.0688247201611685,NA,0.120516921010365,0,0,0
